PROPERTY_NUM,TRANSACTION_AMOUNT,YEAR_BUILT,ADDRESS,REGISTRATION_DATE,ROAD_NAME,APARTMENT_NAME,SQUARE_FOOTAGE,FLOOR_NUMBER
103,2320000000,1979,서울특별시 용산구  이촌동 300-301 ,2024-07-02,이촌로,삼익,145.19,3

104,2080000000,1994,서울특별시 용산구  이촌동 395 ,2024-07-03,이촌로2가길,대림,84.78,15

105,1445000000,1999,서울특별시 용산구  이촌동 411 ,2024-07-03,이촌로,동아그린,84.82,5

106,1890000000,2000,서울특별시 용산구  이촌동 415 ,2024-07-05,이촌로,한강(대우),84.98,1

107,1900000000,1998,서울특별시 용산구  이촌동 404 ,2024-07-08,이촌로65길,한가람,84.96,2

108,6000000000,1971,서울특별시 용산구  이촌동 300-23 ,2024-07-15,이촌로,한강맨숀,167.21,3

109,1700000000,2000,서울특별시 용산구  이촌동 415 ,2024-07-16,이촌로,한강(대우),60.0,19

110,8900000000,2011,서울특별시 용산구  한남동 810 ,2024-07-01,독서당로,한남더힐,208.48,3

111,3800000000,1984,서울특별시 용산구  서빙고동 241-21 ,2024-07-04,이촌로,신동아,166.98,7

112,1450000000,2014,서울특별시 성동구  상왕십리동 811 ,2024-07-04,마장로,텐즈힐(2단지),84.9,3

113,1830000000,2014,서울특별시 성동구  상왕십리동 811 ,2024-07-08,마장로,텐즈힐(2단지),127.44,19

114,1600000000,2014,서울특별시 성동구  상왕십리동 811 ,2024-07-09,마장로,텐즈힐(2단지),84.93,5

115,1600000000,2015,서울특별시 성동구  하왕십리동 1066 ,2024-07-01,무학로,텐즈힐(1단지),84.88,10

116,1100000000,2017,서울특별시 성동구  하왕십리동 1071 ,2024-07-01,난계로,왕십리자이,59.99,1

117,1365000000,2015,서울특별시 성동구  하왕십리동 1066 ,2024-07-01,무학로,텐즈힐(1단지),59.88,5

118,840000000,2001,서울특별시 성동구  하왕십리동 1058 ,2024-07-04,난계로,극동미라주,59.4,14

119,1075000000,2004,서울특별시 성동구  하왕십리동 1061 ,2024-07-04,난계로,왕십리풍림아이원,84.42,14

120,2050000000,2015,서울특별시 성동구  하왕십리동 1066 ,2024-07-04,무학로,텐즈힐(1단지),129.34,14

121,1095000000,1989,서울특별시 성동구  하왕십리동 990 ,2024-07-04,왕십리로31나길,한신무학,114.59,12

122,1095000000,1989,서울특별시 성동구  하왕십리동 990 ,2024-07-04,왕십리로31나길,한신무학,114.59,12

123,1870000000,2015,서울특별시 성동구  하왕십리동 1066 ,2024-07-05,무학로,텐즈힐(1단지),129.34,2

124,1170000000,2004,서울특별시 성동구  하왕십리동 1061 ,2024-07-05,난계로,왕십리풍림아이원,114.93,5

125,1440000000,2016,서울특별시 성동구  하왕십리동 1070 ,2024-07-05,왕십리로,센트라스,59.94,13

126,1650000000,2015,서울특별시 성동구  하왕십리동 1066 ,2024-07-06,무학로,텐즈힐(1단지),84.88,17

